<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.10.05	1.15139	1.15494	1.14837	1.15234	89767	0	5
2018.10.08	1.15205	1.15292	1.14596	1.14907	65049	0	6
2018.10.09	1.14903	1.15029	1.14318	1.14899	90038	0	3
2018.10.10	1.14899	1.15450	1.14794	1.15182	79873	0	2
2018.10.11	1.15186	1.15989	1.15175	1.15930	115300	0	3
2018.10.12	1.15861	1.16101	1.15339	1.15584	78170	0	3
2018.10.15	1.15364	1.16059	1.15364	1.15784	68232	0	5
2018.10.16	1.15786	1.16209	1.15657	1.15733	67195	0	5
2018.10.17	1.15733	1.15801	1.14954	1.14999	78065	0	3
2018.10.18	1.15000	1.15268	1.14487	1.14523	86453	0	2
2018.10.19	1.14522	1.15342	1.14326	1.15142	87116	0	4
2018.10.22	1.15160	1.15498	1.14553	1.14637	66533	0	2
2018.10.23	1.14635	1.14931	1.14389	1.14697	85905	0	4
2018.10.24	1.14704	1.14761	1.13783	1.13911	89697	0	5
2018.10.25	1.13919	1.14322	1.13558	1.13746	83219	0	2
2018.10.26	1.13731	1.14206	1.13353	1.14021	87255	0	8
2018.10.29	1.13978	1.14160	1.13602	1.13720	74259	0	3
2018.10.30	1.13719	1.13874	1.13401	1.13431	66558	0	3
2018.10.31	1.13431	1.13598	1.13017	1.13135	72835	0	3
2018.11.01	1.13134	1.14238	1.13123	1.14014	78589	0	3
2018.11.02	1.14014	1.14555	1.13718	1.13859	82634	0	5
2018.11.05	1.13853	1.14236	1.13526	1.14067	65926	0	3
2018.11.06	1.14064	1.14375	1.13910	1.14260	65627	0	3
2018.11.07	1.14261	1.14994	1.13942	1.14255	103065	0	3
2018.11.08	1.14253	1.14465	1.13512	1.13629	82459	0	2
2018.11.09	1.13628	1.13685	1.13157	1.13343	79538	0	8
2018.11.12	1.13184	1.13303	1.12153	1.12174	76096	0	4
2018.11.13	1.12176	1.12933	1.12162	1.12898	87913	0	3
2018.11.14	1.12904	1.13472	1.12628	1.13080	97984	0	3
2018.11.15	1.13089	1.13620	1.12703	1.13255	101325	0	3
2018.11.16	1.13249	1.14199	1.13211	1.14140	79708	0	8
2018.11.19	1.14136	1.14640	1.13935	1.14524	57093	0	2
2018.11.20	1.14529	1.14719	1.13583	1.13695	68152	0	3
2018.11.21	1.13695	1.14243	1.13645	1.13843	63793	0	3
2018.11.22	1.13848	1.14337	1.13799	1.14005	53689	0	3
2018.11.23	1.14003	1.14208	1.13270	1.13296	54912	0	4
2018.11.26	1.13391	1.13834	1.13246	1.13273	59473	0	4
2018.11.27	1.13274	1.13434	1.12770	1.12874	73668	0	3
2018.11.28	1.12849	1.13875	1.12667	1.13659	78417	0	2
2018.11.29	1.13658	1.14013	1.13483	1.13925	72933	0	2
2018.11.30	1.13924	1.14001	1.13050	1.13155	67622	0	4
2018.12.03	1.13499	1.13793	1.13189	1.13534	63645	0	3
2018.12.04	1.13535	1.14185	1.13181	1.13423	82664	0	4
2018.12.05	1.13413	1.13609	1.13104	1.13445	50759	0	2
2018.12.06	1.13447	1.14123	1.13205	1.13746	91693	0	3
2018.12.07	1.13767	1.14233	1.13600	1.13962	83663	0	4
